醫事機構代碼,醫事機構名稱,醫事機構種類,電話,地址,分區業務組,特約類別,服務項目,診療科別,終止合約或歇業日期,固定看診時段,備註,縣市別代碼,合約起日,行政區名稱,行政區編碼
0401180014,國立臺灣大學醫學院附設醫院,綜合醫院,(02)23123456,臺北市中正區中山南路７、８號；常德街１號,臺北業務組,1,"復健－物理治療業務,復健－職能治療業務,住院安寧療護,安寧居家療護(甲類),復健－語言治療業務,急診業務,門診診療,住院診療,血液透析,居家照護,分娩,精神病患者居家照護,義肢業務,胸部低劑量電腦斷層檢查,精神科日間住院治療,腹膜透析業務,結核病","不分科,家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,職業醫學科,急診醫學科,牙科,牙體復形科,牙髓病科,牙周病科,贋復補綴牙科,齒顎矯正科,口腔顎面外科,口腔病理科,家庭牙醫科,特殊需求者口腔醫學科,麻醉科,核子醫學科,放射腫瘤科,放射診斷科,解剖病理科,臨床病理科",20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,急診全年無休，24小時提供服務；西址院區周六未開診，部分診改至兒醫大樓,63000,19950301,中正區,3
0401180023,國立臺灣大學醫學院附設醫院兒童醫院,綜合醫院,(02)23123456,臺北市中正區中山南路８號,臺北業務組,1,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,門診診療,住院診療,血液透析","外科,兒科,精神科,復健科,牙科,兒童牙科,麻醉科,放射診斷科",20260731,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,兒科急診在總院全年無休，24小時提供服務,63000,20140801,中正區,3
0501110514,三軍總醫院附設民眾診療服務處,綜合醫院,(02)87923311,臺北市內湖區成功路２段３２５號,臺北業務組,1,"復健－物理治療業務,復健－職能治療業務,住院安寧療護,安寧居家療護(甲類),復健－語言治療業務,急診業務,門診診療,住院診療,血液透析,分娩,精神病患者居家照護,胸部低劑量電腦斷層檢查,精神科日間住院治療,結核病","不分科,家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,職業醫學科,急診醫學科,牙科,牙體復形科,牙髓病科,牙周病科,贋復補綴牙科,齒顎矯正科,兒童牙科,口腔顎面外科,口腔病理科,家庭牙醫科,特殊需求者口腔醫學科,中醫一般科,麻醉科,核子醫學科,放射腫瘤科,放射診斷科,解剖病理科,臨床病理科",20250930,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,急診24小時服務（門診實際看診時間請依各院區門診時刻表為主）,63000,20001001,內湖區,14
0601160016,臺北榮民總醫院,綜合醫院,(02)28712121,臺北市北投區石牌路２段２０１號,臺北業務組,1,"復健－物理治療業務,復健－職能治療業務,住院安寧療護,安寧居家療護(甲類),復健－語言治療業務,急診業務,門診診療,婦女人類乳突病毒檢測服務,住院診療,血液透析,分娩,精神病患者居家照護,胸部低劑量電腦斷層檢查,精神科日間住院治療,結核病","不分科,家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,職業醫學科,急診醫學科,牙科,牙髓病科,齒顎矯正科,兒童牙科,口腔顎面外科,特殊需求者口腔醫學科,中醫一般科,麻醉科,核子醫學科,放射腫瘤科,放射診斷科,解剖病理科,臨床病理科",20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,63000,19950301,北投區,16
1101010012,長庚醫療財團法人台北長庚紀念醫院,綜合醫院,(02)27135211,臺北市松山區敦化北路１９９、１９７號、１９９巷６號、民生東路,北區業務組,1,"復健－物理治療業務,復健－職能治療業務,復健－聽力檢查業務,復健－語言治療業務,急診業務,門診診療,住院診療,血液透析,分娩,胸部低劑量電腦斷層檢查,腹膜透析業務","不分科,家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,急診醫學科,牙科,牙周病科,贋復補綴牙科,齒顎矯正科,兒童牙科,口腔病理科,中醫一般科,麻醉科,放射線科,病理科,核子醫學科,放射腫瘤科",20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,門診開診日及開診科別依本院門診表公告為準。,63000,19950301,松山區,1
1101020018,國泰醫療財團法人國泰綜合醫院,綜合醫院,(02)27082121,臺北市大安區仁愛路４段２８０號，２６６巷６號,臺北業務組,1,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,急診業務,門診診療,婦女人類乳突病毒檢測服務,住院診療,血液透析,分娩,義肢業務,胸部低劑量電腦斷層檢查,結核病","不分科,家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,職業醫學科,急診醫學科,牙科,牙髓病科,牙周病科,贋復補綴牙科,齒顎矯正科,兒童牙科,口腔顎面外科,家庭牙醫科,麻醉科,核子醫學科,放射腫瘤科,放射診斷科,解剖病理科,臨床病理科",20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上休診、星期五晚上看診、星期六晚上休診、星期日晚上休診,急診全年無休，24小時提供服務,63000,19950301,大安區,2
1101100011,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,綜合醫院,(02)25433535,臺北市中山區中山北路２段９２號,臺北業務組,1,"復健－物理治療業務,復健－職能治療業務,住院安寧療護,安寧居家療護(甲類),復健－語言治療業務,急診業務,門診診療,住院診療,血液透析,居家照護,分娩,精神病患者居家照護,胸部低劑量電腦斷層檢查,精神科日間住院治療,結核病","不分科,家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,職業醫學科,急診醫學科,牙科,牙髓病科,牙周病科,贋復補綴牙科,齒顎矯正科,兒童牙科,口腔顎面外科,口腔病理科,家庭牙醫科,中醫一般科,麻醉科,核子醫學科,放射腫瘤科,放射診斷科,解剖病理科,臨床病理科",20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,24小時急診服務,63000,19950301,中山區,10
1101100020,台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,綜合醫院,(02)25433535,臺北市中山區中山北路２段９２號,臺北業務組,1,"復健－物理治療業務,復健－職能治療業務,安寧居家療護(甲類),復健－語言治療業務,門診診療,住院診療","外科,兒科,婦產科,骨科,神經外科,耳鼻喉科,眼科,皮膚科,精神科,復健科,兒童牙科,麻醉科,放射診斷科",20260916,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,提供24小時急診服務醫院,63000,20140917,中山區,10
1101150011,新光醫療財團法人新光吳火獅紀念醫院,綜合醫院,(02)28332211,臺北市士林區文昌路９５號及士商路５１號１至７樓５３、５５號,臺北業務組,1,"復健－物理治療業務,復健－職能治療業務,住院安寧療護,復健－語言治療業務,急診業務,門診診療,婦女人類乳突病毒檢測服務,住院診療,血液透析,分娩,精神病患者居家照護,胸部低劑量電腦斷層檢查,精神科日間住院治療,結核病","不分科,家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,職業醫學科,急診醫學科,牙科,牙體復形科,牙髓病科,牙周病科,贋復補綴牙科,齒顎矯正科,口腔顎面外科,家庭牙醫科,特殊需求者口腔醫學科,中醫一般科,麻醉科,核子醫學科,放射腫瘤科,放射診斷科,解剖病理科,臨床病理科",20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上休診、星期六晚上休診、星期日晚上休診,自113年06月01日起，日、夜間門診及週六診掛號費均為200元（包括同新門診掛號費）,63000,19950301,士林區,15
1301200010,臺北市立萬芳醫院－委託臺北醫學大學辦理,綜合醫院,(02)29307930,臺北市文山區興隆路３段１１１號,臺北業務組,1,"復健－物理治療業務,復健－職能治療業務,住院安寧療護,安寧居家療護(甲類),復健－語言治療業務,急診業務,門診診療,婦女人類乳突病毒檢測服務,住院診療,血液透析,分娩,精神病患者居家照護,胸部低劑量電腦斷層檢查,精神科日間住院治療,腹膜透析業務,結核病","不分科,家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,職業醫學科,急診醫學科,牙科,牙體復形科,牙髓病科,牙周病科,贋復補綴牙科,齒顎矯正科,兒童牙科,口腔顎面外科,口腔病理科,家庭牙醫科,中醫一般科,麻醉科,核子醫學科,放射腫瘤科,放射診斷科,解剖病理科,臨床病理科",20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,提供24小時急診服務,63000,19970114,文山區,11
