單位名稱,地區,認證別,淨下設備,小淨設備,祈禱室,認證單位,電話,地址
臺北國際會議中心,臺北市,,是,否,是,,+886-2-2725-5200 ext.1272,臺北市信義區信義路五段1號1樓105會議室旁專屬祈禱室
展覽大樓(世貿1館),臺北市,,是,否,是,,+886-2-2725-5200 ext.1272,臺北市信義路五段5號7樓B區(7B17室)
臺北南港展覽館1館,臺北市,,是,否,是,,+886-2-2725-5200 ext.5111,臺北市南港區經貿二路1號4樓L區
臺鐵公司臺北站,臺北市,,是,否,是,,+886-2-2381-5226 ext.2821,臺北市中正區北平西路3號B1
台北101觀景台,臺北市,MFE,是,否,是,中國回教協會,+886-2-8101-7777,臺北市信義區信義路五段7號
台北榮民總醫院,臺北市,MFE,是,是,是,中國回教協會,+886-2-2875-7808,臺北市北投區石牌路二段201號
臺北市立西松高中,臺北市,MFE,是,否,是,中國回教協會,+886-2-2528-6618,臺北市松山區健康路325巷7號
臺北市立兒童新樂園,臺北市,MFE,是,否,是,中國回教協會,+886-2-2833-3823,臺北市士林區承德路五段55號
大梯田生態花卉農園,臺北市,MFE,是,否,是,中國回教協會,+886-917-639-349,臺北市北投區竹子湖33-11號
財福海芋田,臺北市,MFE,是,否,是,中國回教協會,+886-928-624-802,臺北市北投區竹子湖路68號(往前68公尺)
新光醫療財團法人新光吳火獅紀念醫院,臺北市,MFE,是,是,是,中國回教協會,+886-2-2833-2211,臺北市士林區文昌路95號
三軍總醫院,臺北市,MFE,是,是,是,中國回教協會,+886-2-8792-3311,臺北市內湖區成功路二段325號
剝皮寮歷史街區,臺北市,MFE,是,否,是,中國回教協會,+886-2-2302-3199,臺北市萬華區廣州街135號
關渡自然公園,臺北市,MFE,是,否,是,中國回教協會,+886-2-2858-7417,臺北市北投區關渡路55號
國立臺灣大學醫學院附設醫院,臺北市,MFE,是,是,是,中國回教協會,,
國立中正紀念堂,臺北市,MFE,是,否,是,中國回教協會,+886-2-2343-1100,臺北市中正區中山南路21號
故鄉農園,臺北市,MFE,是,否,是,中國回教協會,+886-2-2861-5736,臺北市北投區竹子湖路海芋大道上
曹家花田香,臺北市,MFE,是,否,是,中國回教協會,+886-2-2862-5886,臺北市北投區竹仔湖路33-7號旁
芝山文化生態綠園,臺北市,MFE,是,否,是,中國回教協會,+886-2-8866-6258,臺北市士林區雨聲街120號
國立故宮博物院-本院院區,臺北市,MFE,是,否,是,中國回教協會,+886-2-28812021,臺北市士林區至善路二段221號
臺北市立萬芳醫院,臺北市,MFE,是,否,是,伊斯蘭商務發展有限公司,+886-2-2930-7930,臺北市文山區興隆路三段111號
臺北醫學大學附設醫院,臺北市,MFE,是,是,是,伊斯蘭商務發展有限公司,+886-2-2737-2181,臺北市信義區吳興街252號
郭元益糕餅博物館,臺北市,MFE,是,否,是,中國回教協會,+886-2-2838-2700,臺北市士林區文林路546號4樓
白石森活有機農場,臺北市,MFE,是,否,是,中國回教協會,+886-2-2794-3131,臺北市內湖區碧山路50號
士林官邸公園,臺北市,MFE,是,否,是,中國回教協會,+886-2-28812512,臺北市士林區中山北路5段378巷以北/福林路中山北路交叉口右側
臺北市立聯合醫院(仁愛院區),臺北市,MFH,是,是,是,巴勒克清真產業有限公司,+886-2-2709-3600,臺北市大安區仁愛路4段10號
臺北市立聯合醫院(陽明院區),臺北市,MFH,是,是,是,巴勒克清真產業有限公司,+886-2-2835-3456,臺北市士林區雨聲街105號
臺北市立聯合醫院(松德院區),臺北市,MFH,是,是,是,巴勒克清真產業有限公司,+886-2-2726-3141,臺北市信義區松德路309號
臺北市立聯合醫院(中興院區),臺北市,MFH,是,是,是,巴勒克清真產業有限公司,+886-2-2555-3000,臺北市大同區鄭州路145號
臺北市立聯合醫院(忠孝院區),臺北市,MFH,是,是,是,巴勒克清真產業有限公司,,
臺北市立聯合醫院(和平婦幼院區),臺北市,MFH,是,是,是,巴勒克清真產業有限公司,,
